必修一,
Unit 1,
potential ,n.潜力；可能性adj.潜在的，可能的
senior ,adj.中学的(招收11或13岁以上学生)；级别高的；高级水平的；老年的n.级别(或地位)较高者；较…年长的人；高水平运动员
path ,n.道路；小路；成功的途径
challenge ,n.&vt.挑战；质疑
thinking ,n.思维，思想；想法
positive ,adj.积极乐观的；良好的，正面的
opportunity ,n.机会，时机
lie in ,存在于，在于
rise to ,能够处理
acquire ,vt.获得，得到
effort ,n.努力，费力的事；试图
advance ,n.进步，进展；前进，行进vt.&vi.发展，进步
amazing ,adj.令人大为惊奇的，令人惊喜的
confidence ,n.信心，信任；把握
make a difference ,起作用，有影响
make the most of ,充分利用，尽情享受
resource ,n.资源；资料；谋略
take advantage of ,利用
facility ,n.设施，设备；场所
equal ,adj.相等的；平等的；相当的n.同等的人(物)linkingv.与…相等vt.比得上
attitude ,n.态度，看法
goal ,n.目标；进球得分
balance ,vt.同等重视；(使)保持平衡；权衡重要性n.均衡，平衡；平衡能力
improve ,vt.&vi.改进，改善
last but not least ,最后但同样重要的
well-rounded ,adj.全面发展的；面面俱到的
individual ,n.个人adj.单独的，个别的
character ,n.品质，性格；特点；人物，角色；文字
responsible ,adj.有责任，负责；可靠的
ahead ,adv.(时间、空间)向前；提前
junior ,adj.(学校)为11或13岁以下儿童设立的；地位(或级别)低的；青少年的n.职位较低者；青少年运动员
forward ,adv.向将来；向前；进展，前进
look forward to ,盼望，期待
independent ,adj.自主的，有主见的；自立的
focus ,n.焦点，重点vt.&vi.集中
detail ,n.细节；具体情况
as a result of ,由于
tip ,n.指点，实用的提示；尖端；小费
base ,vt.以…为基础(依据)n.根据；基础；基底；总部，大本营
remind ,vt.提醒，使想起
stick to ,坚持；固守，维持
proposal ,n.提议，建议，动议
aim ,n.目的，目标vi.&vt.力争做到；目的是；针对
style ,n.风格；方式；样式
technique ,n.技巧，技艺；技能
workshop ,n.研讨会，讲习班；车间，作坊
professional ,adj.职业的，专业的；有职业的；娴熟的，精通业务的n.专门人员，专业人士
material ,n.材料；素材adj.物质的，实际的；客观存在的
poster ,n.海报；(在网络留言板上)发布消息的人
secondary ,adj.中学的；次要的
exchange ,n.&vt.交换；交流；兑换
host ,n.主人；东道主；主持人vt.主办；主持
a.m.,上午，午前
p.m.,下午，午后
biology ,n.生物学
tough ,adj.艰难的；严厉的；坚强的；坚固的
alarm ,n.闹钟；恐慌；警报；警报器vt.使惊恐，使害怕
contribution ,n.贡献；捐款；捐赠
fortunately ,adv.幸运地，幸亏
over time ,随着时间流逝，久而久之
option ,n.可选择的事物，选择；选修课
butter ,n.黄油
pudding ,n.甜点；布丁
attract ,vt.吸引，使喜爱；招引；引起(反应)
rugby ,n.橄榄球运动
calligraphy ,n.书法，书法艺术
Unit 2,
